,wavelength_-1.0V,-1.0V,wavelength_-0.5V,-0.5V,wavelength_0.0V,0.0V,wavelength_0.5V,0.5V,wavelength_1.0V,1.0V,wavelength_1.5V,1.5V,wavelength_2.0V,2.0V,wavelength_2.5V,2.5V,wavelength_3.0V,3.0V
8448,1578.4265329999998,-41.360123779430324,1578.4267619999994,-41.4701796887259,1578.4269530120491,-41.67963853511637,1578.4269550000004,-42.27661550122809,1578.4271,-41.806610835600615,1578.4272549999996,-41.66159856743489,1578.4230700000003,-41.5509912141197,1578.405955,-41.765011734498,1578.406125,-42.697621155889536
8449,1578.4276540000012,-41.470991895114814,1578.4278830000012,-41.577737740475584,1578.4280614457825,-41.61853164289439,1578.4280599999997,-42.06138542013058,1578.428215,-42.10425410377924,1578.4283650000002,-41.77643104703219,1578.4241200000001,-42.24460339308617,1578.4067999999997,-41.52999899571426,1578.406975,-42.06813542829309
8450,1578.4287320000003,-41.29605809237436,1578.4289560000002,-41.416729127097135,1578.4291373493966,-41.780352428973096,1578.42912,-41.561208727511215,1578.42929,-41.70605443394346,1578.4294400000003,-41.53226465379163,1578.42517,-41.78435026210359,1578.4077050000003,-42.443224193500235,1578.4078700000002,-41.85291310877212
8451,1578.4297229999988,-41.31051209061739,1578.4299539999986,-41.32241324575435,1578.4301289156624,-41.81114590802362,1578.4301150000001,-42.6702720266064,1578.4302899999998,-41.96411156941589,1578.4304350000004,-41.58136367054227,1578.4261549999999,-41.7419334701121,1578.408725,-42.42369299804052,1578.4088800000002,-41.77439197251512
8452,1578.430662000001,-41.26317724278357,1578.4308910000018,-41.17213401377431,1578.4310602409644,-41.530848028630956,1578.4310550000005,-42.06037628884203,1578.431215,-41.785811285049306,1578.4313750000006,-41.63567782085473,1578.4271250000002,-41.955116715115985,1578.4098100000003,-42.01226024925033,1578.4099699999997,-41.880036929958386
8453,1578.4315299999998,-41.52893099103292,1578.4317549999998,-41.51631450682252,1578.4319301204825,-41.79510338620653,1578.431925,-42.66987991264484,1578.4320850000001,-41.4733073532371,1578.4322299999997,-42.417973921823574,1578.42805,-41.271941860241824,1578.4109599999997,-42.091599076396214,1578.4111300000004,-42.04629287875603
8454,1578.432341,-41.1939271609207,1578.432574,-41.33758509957118,1578.4327493975904,-41.7497177947144,1578.4327399999997,-42.02364692154178,1578.4328949999997,-41.764174459123595,1578.4330300000004,-42.13968124829071,1578.4289449999999,-41.59122195434615,1578.4121600000003,-41.48472666577128,1578.4123299999999,-42.43268785234041
8455,1578.4331170000005,-41.11923362759248,1578.433353000001,-41.307154508725965,1578.4335277108426,-41.78435553017044,1578.4335300000005,-42.33653623707123,1578.4336650000002,-41.98221438217264,1578.4338149999999,-41.90553965257858,1578.4298299999998,-41.91657358139554,1578.4133850000005,-41.64566875068596,1578.4135649999996,-41.89615941456145
8456,1578.4338529999993,-41.62333496959507,1578.4340819999998,-41.44679778141654,1578.4342578313249,-41.512953240743684,1578.4342550000001,-42.090556077410476,1578.4344149999995,-41.80803921830359,1578.434555,-41.83334927306966,1578.4306450000001,-42.54157495890684,1578.4146350000003,-42.289270528611134,1578.41481,-42.34066135756875
8457,1578.4345779999994,-41.314933105793216,1578.434797999999,-41.32985788074987,1578.4349771084335,-41.47091142157503,1578.43499,-41.48472666577128,1578.4351249999997,-41.494299571642536,1578.4352750000003,-41.69964249710299,1578.4314799999997,-42.2443966381426,1578.415885,-41.92922860877857,1578.4160450000004,-41.9155305824098
8458,1578.435293000001,-41.010346963266564,1578.435523,-41.26938065557213,1578.4357084337355,-41.78473210275854,1578.435715,-41.07322740904116,1578.43585,-41.73012877386068,1578.4360050000007,-42.069371143141936,1578.4323000000002,-41.43514960323386,1578.4171199999996,-42.04386842052174,1578.4172800000001,-41.67133027346307
8459,1578.4360430000006,-41.30913253217483,1578.4362579999997,-41.50409132227722,1578.4364506024103,-41.47544017910069,1578.4364500000001,-41.77766676188102,1578.436615,-41.64239396132005,1578.4367549999995,-41.862512168772994,1578.433135,-42.208292049745886,1578.4183300000002,-41.785811285049306,1578.41847,-42.3430531755603
8460,1578.436813,-41.10005881928683,1578.437032000001,-41.42926257778289,1578.4372228915656,-41.68312339683927,1578.4372250000001,-41.40309730188186,1578.4373700000006,-42.26128989018012,1578.4375249999998,-42.12890649526783,1578.433995,-42.22093299003948,1578.419495,-42.665820316764,1578.4196600000005,-42.47810715413756
